id,host_id,host_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,availability_30,number_of_reviews,review_scores_rating
24369797,251588030,1,East Harlem,40.79054,-73.94602,Entire rental unit,Entire home/apt,6,2,2,$240.00 ,3,0,168,4.3
24171777,6489789,1,Boerum Hill,40.68228,-73.98008,Entire rental unit,Entire home/apt,4,2,2,$507.00 ,30,0,4,5
24380794,184009385,2,Williamsburg,40.71311,-73.94337,Entire rental unit,Entire home/apt,4,2,2,$211.00 ,2,2,142,4.7
24609263,43803591,1,Fort Hamilton,40.61386,-74.03435,Entire condo,Entire home/apt,5,2,2,$113.00 ,30,12,44,4.71
24656108,4794638,1,Williamsburg,40.71625,-73.95504,Entire rental unit,Entire home/apt,4,2,2,$170.00 ,6,0,154,4.74
24497815,162280872,188,Upper East Side,40.7738,-73.94934,Entire serviced apartment,Entire home/apt,4,2,2,$170.00 ,30,30,2,3
24948017,185683441,3,Harlem,40.81824,-73.9419,Entire rental unit,Entire home/apt,6,2,2,$179.00 ,30,0,6,4.83
24833117,7834073,1,East Harlem,40.78766,-73.94785,Entire rental unit,Entire home/apt,4,2,2,$275.00 ,3,3,89,4.41
24852797,8330049,1,Bushwick,40.70307,-73.91742,Entire rental unit,Entire home/apt,4,2,2,$75.00 ,30,0,7,5
24866378,69469129,4,Flatbush,40.65336,-73.96231,Private room in rental unit,Private room,4,2,2,$125.00 ,30,26,22,4.82
24752128,5383703,3,Upper East Side,40.76663,-73.95663,Entire rental unit,Entire home/apt,3,2,2,$250.00 ,5,3,54,4.46
24754074,4285260,1,Bedford-Stuyvesant,40.68678,-73.9373,Entire townhouse,Entire home/apt,4,2,2,$200.00 ,30,0,6,5
24879207,173852911,1,Far Rockaway,40.59483,-73.73861,Entire cottage,Entire home/apt,4,2,2,$178.00 ,3,5,98,4.86
24987685,94713722,3,St. Albans,40.69084,-73.75454,Entire guest suite,Entire home/apt,4,2,2,$135.00 ,2,4,30,4.83
24992683,35558078,1,Williamsburg,40.7119,-73.94156,Private room in condo,Private room,1,2,2,$99.00 ,3,7,11,5
25167819,148130354,2,Bedford-Stuyvesant,40.68607,-73.9243,Entire home,Entire home/apt,4,2,2,$169.00 ,30,0,11,4.73
25206790,41762539,1,Fort Hamilton,40.62121,-74.0305,Entire rental unit,Entire home/apt,4,2,2,$99.00 ,30,0,1,0
25033659,64542737,1,East New York,40.67214,-73.8763,Entire rental unit,Entire home/apt,4,2,2,$168.00 ,7,9,20,4.84
24919742,134122415,1,Windsor Terrace,40.66029,-73.98374,Entire townhouse,Entire home/apt,5,2,2,$210.00 ,6,0,7,5
25371790,89106916,1,Red Hook,40.67887,-74.00785,Entire loft,Entire home/apt,3,2,2,$250.00 ,5,3,85,4.85
25289848,785940,1,Bedford-Stuyvesant,40.6845,-73.95537,Entire rental unit,Entire home/apt,4,2,2,$170.00 ,30,0,4,5
25112819,12104046,2,Harlem,40.83023,-73.9421,Entire rental unit,Entire home/apt,4,2,2,$307.00 ,3,8,64,4.71
25296589,960248,7,East Harlem,40.79474,-73.93721,Private room in rental unit,Private room,4,2,2,$190.00 ,2,8,7,5
25125914,16437254,14,Bedford-Stuyvesant,40.68333,-73.95833,Entire rental unit,Entire home/apt,4,2,2,$337.00 ,30,26,7,4.57
25135607,31612339,1,Greenpoint,40.73821,-73.95288,Entire rental unit,Entire home/apt,4,2,2,$150.00 ,30,0,6,5
25456714,13006166,2,Lower East Side,40.7187,-73.98566,Entire condo,Entire home/apt,4,2,2,$196.00 ,30,4,6,4.83
25745070,2792179,1,West Village,40.7321,-74.00884,Private room in rental unit,Private room,2,2,2,$120.00 ,30,0,5,4.67
25328184,1417893,1,Bedford-Stuyvesant,40.68786,-73.92713,Entire rental unit,Entire home/apt,4,2,2,$200.00 ,5,11,127,4.91
25745458,2483350,1,Greenpoint,40.73509,-73.95443,Entire rental unit,Entire home/apt,4,2,2,$200.00 ,30,0,1,5
25346963,51601657,1,Upper East Side,40.77741,-73.96258,Entire rental unit,Entire home/apt,6,2,2,$471.00 ,3,2,180,4.86
25784618,3353295,1,Mott Haven,40.80999,-73.91171,Entire rental unit,Entire home/apt,3,2,2,$150.00 ,2,0,6,5
25508055,20480059,1,Fort Greene,40.69409,-73.97072,Entire rental unit,Entire home/apt,4,2,2,$120.00 ,5,0,8,5
25804768,193910244,1,Crown Heights,40.67749,-73.95139,Entire rental unit,Entire home/apt,4,2,2,$250.00 ,30,0,20,4.6
25534630,17581024,3,Gowanus,40.67793,-73.98318,Entire rental unit,Entire home/apt,4,2,2,$230.00 ,7,0,18,4.72
25543393,192723267,1,Williamsburg,40.70794,-73.93511,Entire loft,Entire home/apt,5,2,2,$314.00 ,2,12,50,4.74
26004664,4876826,1,Midtown,40.76618,-73.97886,Entire condo,Entire home/apt,5,2,2,$699.00 ,30,0,3,5
25552076,184009385,2,Williamsburg,40.71397,-73.94185,Entire rental unit,Entire home/apt,4,2,2,$250.00 ,2,9,135,4.47
25665981,151421618,4,Ozone Park,40.68307,-73.84392,Entire rental unit,Entire home/apt,4,2,2,$120.00 ,30,0,22,4.91
26201913,1260391,2,Crown Heights,40.66852,-73.92438,Entire rental unit,Entire home/apt,3,2,2,$175.00 ,8,0,21,4.81
26221423,62701284,1,Long Island City,40.74355,-73.95154,Entire rental unit,Entire home/apt,6,2,2,$239.00 ,30,0,83,4.9
26229979,150482926,1,Harlem,40.81087,-73.94673,Entire rental unit,Entire home/apt,4,2,2,$295.00 ,30,0,3,4
26125053,196373534,1,Greenpoint,40.72776,-73.9501,Private room in townhouse,Private room,4,2,2,$50.00 ,30,0,1,5
26131606,61391963,117,Murray Hill,40.75072,-73.9767,Entire condo,Entire home/apt,4,2,2,$175.00 ,30,0,3,5
26136583,6171984,1,Jackson Heights,40.74878,-73.89577,Entire rental unit,Entire home/apt,4,2,2,$156.00 ,30,0,2,5
26277801,187960424,1,Upper West Side,40.79041,-73.96958,Entire rental unit,Entire home/apt,5,2,2,$230.00 ,30,0,1,0
26159891,10995888,1,Brooklyn Heights,40.69122,-73.99423,Entire rental unit,Entire home/apt,4,2,2,$310.00 ,30,0,5,4.8
26166987,5161217,2,SoHo,40.72409,-74.00706,Entire rental unit,Entire home/apt,4,2,2,$345.00 ,4,0,5,5
26182768,21146326,2,Chinatown,40.71836,-73.99654,Entire rental unit,Entire home/apt,3,2,2,$109.00 ,30,0,17,4.88
26313558,24013611,1,Upper West Side,40.77364,-73.99009,Entire rental unit,Entire home/apt,4,2,2,$300.00 ,30,0,20,4.95
26778845,2478942,2,Williamsburg,40.71275,-73.96051,Private room in rental unit,Private room,5,2,2,$360.00 ,30,0,12,4.75
26374486,198340695,1,East Harlem,40.78794,-73.94322,Entire rental unit,Entire home/apt,2,2,2,$50.00 ,30,0,2,3
26385422,58071546,3,Midtown,40.76137,-73.97886,Entire serviced apartment,Entire home/apt,6,2,2,$634.00 ,3,0,6,5
26570316,15175378,2,Crown Heights,40.67492,-73.94729,Entire rental unit,Entire home/apt,4,2,2,$200.00 ,10,0,75,4.88
26387674,37274021,1,Bedford-Stuyvesant,40.68446,-73.95535,Private room in rental unit,Private room,4,2,2,$140.00 ,3,2,96,4.73
26803556,801975,3,Crown Heights,40.6777,-73.94611,Entire rental unit,Entire home/apt,2,2,2,$144.00 ,7,6,44,4.93
26607691,200047329,3,Richmond Hill,40.7033,-73.82993,Private room in home,Private room,4,2,2,$100.00 ,1,19,27,4.67
26449881,17263833,1,Williamsburg,40.71157,-73.94953,Entire rental unit,Entire home/apt,4,2,2,$310.00 ,2,3,8,4.88
26641779,182152235,2,Bedford-Stuyvesant,40.68834,-73.95842,Entire rental unit,Entire home/apt,4,2,2,$350.00 ,2,0,98,4.95
26814842,176951326,12,Midtown,40.7587,-73.96376,Entire rental unit,Entire home/apt,5,2,2,$895.00 ,1,0,1,0
26660828,19739033,2,Harlem,40.81262,-73.95326,Entire rental unit,Entire home/apt,4,2,2,$210.00 ,30,0,4,5
26664229,200439496,1,Elmhurst,40.73832,-73.87247,Entire condo,Entire home/apt,3,2,2,$198.00 ,30,4,20,4.9
26948562,202766548,1,Chelsea,40.74705,-74.006,Entire condo,Entire home/apt,4,2,2,$395.00 ,30,0,9,5
26954041,176950781,10,Theater District,40.75745,-73.98309,Entire serviced apartment,Entire home/apt,5,2,2,$625.00 ,7,22,42,4.62
