id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
37181275,"Townhome w/ rooftop, 1 GB internet, & light rail",1275081,Shawn,,West Colfax,39.7354,-105.04831,Entire home/apt,245,30,6,2022-05-19,0.34,2,248,2,
37206363,Guest House @ Queen City Co-Op - Sleeps 6!,280045010,Queen City,,Capitol Hill,39.73014,-104.97673,Entire home/apt,188,1,274,2022-06-22,7.99,1,49,111,2019-BFN-0010221
37211561,Superb Sunnyside location close to EVERYTHING!,23741168,Rick,,Sunnyside,39.77026,-105.00928,Entire home/apt,257,29,28,2021-10-10,0.83,1,0,6,2019-BFN-0006886
37249656,Modern Uptown Home on Park-Walk Dntwn/Food/Drink,15129676,Lia,,Five Points,39.74935,-104.98254,Entire home/apt,350,2,144,2022-06-22,4.13,1,159,107,2021-BFN-0001539
37251142,Garden-Level Apt. w/ Hot Tub - Steps to City Park!,151394248,Evolve,,City Park West,39.74778,-104.96076,Entire home/apt,135,30,32,2021-07-01,0.92,17,0,1,2019-BFN-0005427
37254370,Large private room in spacious home near airport,45172079,Alejandro,,Gateway - Green Valley Ranch,39.78953,-104.73598,Private room,95,1,105,2022-06-14,2.97,1,81,27,2019-BFN-0008922
37265429,⫷RiNo/Denver Bungalow - Modern Interior⫸,5619964,Heather,,Whittier,39.75998,-104.96141,Entire home/apt,228,29,26,2020-07-25,0.81,1,0,0,2019-BFN-0010130
37278818,"Simple, Comfy Room, 10 minute drive from Downtown",231033010,Krisana,,Chaffee Park,39.78855,-105.01139,Private room,105,1,225,2022-06-20,6.40,1,155,95,2019-BFN-0008828
37279196,Near Downtown Denver - 1st and Broadway,224806876,Jamie,,Baker,39.71659,-104.98796,Entire home/apt,95,2,165,2022-06-15,4.69,3,101,58,2019-BFN-0010601
37284288,Tennyson Gem 2 - Brand new rennovation,55350488,Mark,,West Highland,39.76416,-105.04424,Entire home/apt,200,3,89,2022-06-16,2.53,1,144,36,2020-BFN-0001609
37333429,"Private Unit-Full Kitchen,2 blocks from City Park!",11357766,Dan,,City Park West,39.74941,-104.96127,Entire home/apt,263,2,93,2022-06-24,2.65,1,61,46,2019-BFN-0007500
37335033,Modern Jefferson park duplex! Minutes to Downtown,452537929,Lark,,Jefferson Park,39.75228,-105.01933,Entire home/apt,115,30,6,2021-06-13,0.29,1,282,0,
37355178,Queen bed  just 15mins from Denver Int Airport,273593905,Comfort,,Gateway - Green Valley Ranch,39.77152,-104.74246,Private room,71,1,47,2022-06-10,1.33,3,29,19,2021-BFN-0007789
37356694,"Next to City Park, 5 min from RiNo, LoDo!",439555973,Sofia,,City Park West,39.74885,-104.96145,Entire home/apt,153,2,136,2022-06-23,5.26,1,56,50,2021-BFN-0008462
37361749,Private room 15mins from Denver Int Aiport,273593905,Comfort,,Gateway - Green Valley Ranch,39.77282,-104.74424,Private room,60,1,78,2022-04-14,2.21,3,26,26,2021-BFN-0007789
37366816,Spacious basement bedroom near I-25 & Meow Wolf!,126322773,Danielle,,Valverde,39.71188,-105.01027,Private room,53,2,116,2022-06-23,3.30,1,283,40,2020-BFN-0000037
37400399,"Beautiful Rosedale, Denver Guest Suite!",174256749,Natalie,,Rosedale,39.67006,-104.98345,Entire home/apt,136,1,118,2022-06-21,3.41,1,3,42,2021-BFN-0006478
37404547,"Refined, well-appointed home near lake and LoDo!",34193851,Bonnie,,Sloan Lake,39.75436,-105.04163,Entire home/apt,225,3,2,2021-10-17,0.06,1,0,1,2021-BFN-0005080
