id,host_id,host_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,availability_30,number_of_reviews,review_scores_rating,zip
16749885,103135056,5.0,Rosedale,40.6787,-73.71914,Private room in home,Private room,2,1.0,2.0,$50.00,7,7,10,5.0,11580
29383763,64777265,8.0,Rockaway Park,40.58408,-73.81871,Entire rental unit,Entire home/apt,6,3.0,4.0,$155.00,30,26,11,4.91,11693
22087812,161352782,1.0,Park Hill,40.61391,-74.08556999999998,Entire home,Entire home/apt,2,1.0,1.0,$85.00,2,9,258,4.85,10304
24670100,186147560,9.0,Rockaway Park,40.58599,-73.81886999999998,Entire loft,Entire home/apt,4,1.0,1.0,$229.00,2,28,78,4.63,11693
54109697,230720704,6.0,Van Cortlandt Park,40.91435,-73.89394,Entire home,Entire home/apt,2,1.0,1.0,$81.00,1,11,17,4.47,10705
655743376638752562,187158822,1.0,Rockaway Park,40.58360709999999,-73.8213562,Entire bungalow,Entire home/apt,4,1.0,1.0,$250.00,1,23,22,5.0,11693
38414511,124259915,1.0,Van Cortlandt Park,40.92349,-73.88474000000002,Entire rental unit,Entire home/apt,2,1.0,1.0,$84.00,4,2,61,4.93,10705
42478213,291066137,3.0,Van Cortlandt Park,40.91825,-73.87069,Private room in home,Private room,2,1.0,1.0,$81.00,3,24,11,4.64,10704
26040515,48573945,1.0,Rockaway Park,40.58515,-73.81838,Entire home,Entire home/apt,6,3.0,4.0,$352.00,2,22,109,4.93,11693
50396348,407118242,2.0,Randall Manor,40.6554,-74.12136,Private room in townhouse,Private room,1,1.0,1.0,$60.00,1,6,2,5.0,10310
552084467773314220,411142830,10.0,Queens Village,40.7072,-73.72153,Private room in home,Private room,2,1.0,1.0,$89.00,1,6,2,2.5,11003
17539452,3686701,2.0,North Riverdale,40.91985,-73.90643,Private room in home,Private room,1,1.0,1.0,$51.00,8,1,35,4.69,10705
17156054,3686701,2.0,North Riverdale,40.92018,-73.90961,Private room in home,Private room,2,1.0,1.0,$58.00,15,1,36,4.83,10705
8835781,44045569,10.0,Rosedale,40.67818,-73.72346999999998,Private room in home,Private room,2,1.0,3.0,$68.00,7,27,28,4.88,11580
24327740,133806538,6.0,North Riverdale,40.92391,-73.89416,Private room in rental unit,Private room,2,1.0,1.0,$60.00,2,0,53,4.91,10705
610037827747873773,455342457,2.0,Cambria Heights,40.684662,-73.724594,Entire home,Entire home/apt,10,3.0,5.0,$195.00,1,28,6,4.83,11411
655270661866328591,306337340,2.0,Rosedale,40.64958856634977,-73.72330414865502,Entire home,Entire home/apt,8,3.0,3.0,$308.00,2,30,5,4.6,11581
21826908,133806538,6.0,North Riverdale,40.92526,-73.89416999999997,Private room in home,Private room,2,1.0,1.0,$60.00,2,0,36,4.75,10705
9134840,25126382,3.0,Rockaway Park,40.58668,-73.81945,Entire home,Entire home/apt,15,5.0,8.0,$593.00,2,23,239,4.91,11693
646273219536201475,432212494,2.0,Howland Hook,40.6496467,-74.1924006,Private room in home,Private room,2,1.0,1.0,$63.00,1,28,14,4.93,10303
675923049715913988,470749506,1.0,Queens Village,40.70483098486972,-73.72274879980432,Entire vacation home,Entire home/apt,2,1.0,1.0,$90.00,3,1,2,5.0,11003
664329716489822008,450510949,2.0,Rockaway Park,40.584962,-73.82331599999998,Entire townhouse,Entire home/apt,7,3.0,3.0,$650.00,1,26,4,5.0,11693
43898153,340848483,1.0,Rockaway Park,40.58505,-73.81985,Entire rental unit,Entire home/apt,6,3.0,3.0,$196.00,2,7,64,4.98,11693
52571218,425507095,2.0,North Riverdale,40.92389,-73.90521,Entire rental unit,Entire home/apt,8,3.0,4.0,$280.00,1,23,35,4.66,10705
24654047,186147560,9.0,Rockaway Park,40.58593,-73.82036,Entire loft,Entire home/apt,3,1.0,1.0,$184.00,2,28,103,4.65,11693
46090013,333144127,3.0,Queens Village,40.70767,-73.71817,Private room in home,Private room,2,1.0,1.0,$78.00,2,30,40,4.68,11003
600143372106266592,449245014,1.0,Eastchester,40.90221,-73.78719,Entire home,Entire home/apt,4,2.0,2.0,$232.00,1,9,29,5.0,10805
26062650,64777265,8.0,Rockaway Park,40.58377,-73.81721999999998,Entire rental unit,Entire home/apt,2,1.0,2.0,$125.00,30,28,2,5.0,11693
564766295703536729,445613357,4.0,Rosedale,40.67527000000001,-73.72163,Entire home,Entire home/apt,4,2.0,2.0,$220.00,1,27,19,4.68,11580
41338445,266043771,2.0,Queens Village,40.70661,-73.71704,Entire home,Entire home/apt,2,1.0,1.0,$102.00,1,20,63,4.71,11003
16084672,92615005,1.0,Rockaway Park,40.58563,-73.82251,Entire townhouse,Entire home/apt,14,4.0,8.0,"$1,000.00",2,4,197,4.74,11693
52078462,421664266,2.0,Howland Hook,40.65664,-74.20124,Entire rental unit,Entire home/apt,2,1.0,1.0,$85.00,7,20,8,5.0,10303
44261577,281410258,1.0,Park Hill,40.61489,-74.08491,Entire home,Entire home/apt,6,3.0,4.0,$214.00,1,25,85,4.76,10304
50421591,407057335,3.0,Van Cortlandt Park,40.90797,-73.86769,Private room in serviced apartment,Private room,3,2.0,2.0,$125.00,1,28,12,4.92,10704
6490581,17145159,2.0,Far Rockaway,40.59035,-73.73380999999998,Entire home,Entire home/apt,5,4.0,3.0,$995.00,30,8,1,5.0,11509
20394921,145419322,1.0,Van Cortlandt Park,40.91457,-73.89004,Private room in home,Private room,1,1.0,1.0,$60.00,1,9,2,5.0,10705
53942506,436973268,1.0,North Riverdale,40.92042,-73.90513,Entire home,Entire home/apt,4,2.0,2.0,$121.00,1,4,56,4.84,10705
34785595,75364400,1.0,Rockaway Park,40.57794000000001,-73.84333000000002,Entire guest suite,Entire home/apt,4,2.0,2.0,$336.00,3,29,32,4.72,11694
635339174270186544,461048473,1.0,North Riverdale,40.919632,-73.906242,Entire home,Entire home/apt,4,2.0,3.0,$135.00,1,9,32,4.91,10705
52729101,293360136,4.0,Rosedale,40.6699,-73.71773,Entire home,Entire home/apt,4,2.0,3.0,$131.00,7,30,2,5.0,11580
583502384454522699,445613357,4.0,Rosedale,40.67319000000001,-73.72140999999998,Entire home,Entire home/apt,2,1.0,1.0,$176.00,1,22,3,5.0,11580
648755401503295283,76371792,3.0,Randall Manor,40.65638,-74.12548000000002,Private room in condo,Private room,2,1.0,1.0,$52.00,3,1,10,4.6,10310
600921563916594039,451340504,1.0,North Riverdale,40.92834000000001,-73.90468,Entire rental unit,Entire home/apt,3,1.0,2.0,$200.00,1,28,9,4.89,10705
34681618,42497139,1.0,North Riverdale,40.91897,-73.89805,Private room in rental unit,Private room,1,1.0,1.0,$55.00,1,22,4,4.75,10705
618291751820267549,149724032,3.0,North Riverdale,40.92024,-73.89889000000002,Private room in rental unit,Private room,2,1.0,1.0,$57.00,6,25,5,4.8,10705
50822633,409952022,1.0,Freshkills Park,40.57606,-74.22185,Entire rental unit,Entire home/apt,5,1.0,2.0,$131.00,1,19,55,4.84,10311
583514511009127580,445613357,4.0,Rosedale,40.67314,-73.72194,Entire home,Entire home/apt,2,1.0,1.0,$166.00,1,22,2,4.5,11580
32744011,601071,2.0,Van Cortlandt Park,40.90711,-73.88208,Private room in home,Private room,2,1.0,1.0,$60.00,3,28,4,4.75,10705
654071432978304785,435731502,3.0,Rosedale,40.65429127238953,-73.72076265452334,Private room in home,Private room,1,1.0,1.0,$67.00,1,30,5,4.8,11581
42037683,333144127,3.0,Queens Village,40.70539,-73.71913,Private room in home,Private room,2,1.0,1.0,$71.00,2,27,63,4.73,11003
605637677764675856,63481165,4.0,Cambria Heights,40.68513,-73.71987,Private room in rental unit,Private room,2,1.0,1.0,$40.00,1,14,2,5.0,11411
53706137,6820254,1.0,Van Cortlandt Park,40.91259,-73.88033,Entire home,Entire home/apt,8,4.0,4.0,$395.00,2,0,10,4.8,10705
37399041,135247413,1.0,Cambria Heights,40.69994000000001,-73.72400999999998,Private room in home,Private room,2,1.0,1.0,$80.00,1,26,37,4.89,11411
51728400,255425701,1.0,Cambria Heights,40.70059000000001,-73.72028,Entire rental unit,Entire home/apt,4,2.0,2.0,$186.00,2,5,24,4.83,11003
682610268740129214,174576712,1.0,Rosedale,40.6578454541701,-73.71946110133649,Entire rental unit,Entire home/apt,7,3.0,4.0,$303.00,1,25,2,5.0,11581
669539527043951868,421503935,2.0,Van Cortlandt Park,40.91689,-73.87313,Entire home,Entire home/apt,10,4.0,4.0,$214.00,1,21,6,4.33,10704
35062200,221620198,1.0,Marine Park,40.60645,-73.93215,Entire rental unit,Entire home/apt,2,1.0,1.0,$89.00,2,1,141,4.92,11229
5498089,28516075,2.0,Rockaway Park,40.58281,-73.82016,Entire place,Entire home/apt,4,2.0,2.0,$150.00,30,0,16,4.75,11693
10751119,55338628,2.0,Cambria Heights,40.69139000000001,-73.71988,Private room in home,Private room,1,1.0,1.0,$50.00,2,0,100,4.59,11411
51449753,121680792,680.0,Van Cortlandt Park,40.91333,-73.88729000000002,Entire home,Entire home/apt,11,3.0,6.0,$306.00,2,16,24,4.58,10705
54102865,230720704,6.0,Van Cortlandt Park,40.91301,-73.89502,Private room in home,Private room,2,1.0,1.0,$49.00,1,24,13,4.77,10705
16435760,107768603,1.0,North Riverdale,40.92027,-73.90266,Entire home,Entire home/apt,8,4.0,5.0,$285.00,3,8,66,4.59,10705
53320929,34878735,1.0,Upper West Side,40.79717,-73.99955,Entire home,Entire home/apt,5,2.0,3.0,$171.00,2,14,25,4.88,10069
43421098,63481165,4.0,Cambria Heights,40.68676,-73.71924,Private room in home,Private room,1,1.0,1.0,$34.00,25,0,5,4.6,11411
611106,3030024,1.0,Van Cortlandt Park,40.91904,-73.88789,Entire home,Entire home/apt,4,2.0,2.0,$150.00,5,0,3,5.0,10705
25071526,133806538,6.0,North Riverdale,40.92623,-73.89532,Private room in rental unit,Private room,2,1.0,1.0,$60.00,2,22,52,4.92,10705
41437570,157800076,1.0,Upper West Side,40.79911,-74.00135999999998,Private room in home,Private room,2,1.0,1.0,$56.00,1,1,31,4.71,10069
705742450947893109,467026948,5.0,Upper West Side,40.79026,-74.00326,Private room in home,Private room,2,1.0,1.0,$78.00,1,21,1,5.0,10069
24631966,186147560,9.0,Rockaway Park,40.58597,-73.81867,Entire loft,Entire home/apt,6,2.0,3.0,$311.00,2,27,58,4.6,11693
43441920,195436761,2.0,Marine Park,40.61786,-73.93405,Private room in rental unit,Private room,6,2.0,3.0,$125.00,30,1,33,4.24,11210
24669654,186147560,9.0,Rockaway Park,40.58565,-73.82026,Entire loft,Entire home/apt,5,2.0,2.0,$299.00,2,27,39,4.69,11693
38984848,210033041,3.0,Van Cortlandt Park,40.91884,-73.86903000000002,Private room in home,Private room,1,1.0,1.0,$66.00,3,22,15,4.47,10704
