id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
585745264574634571,Perfect 1 bedroom condo with amazing rooftop patio,24418809,Heather,,Le Plateau-Mont-Royal,45.53676222395713,-73.56875981050543,Entire home/apt,132,5,1,2022-06-06,1,1,0,1,
580415131290029658,New! King bed *private office*terrace*gym*,382842166,Jupiter,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46353627516909,-73.61669394680486,Entire home/apt,130,1,4,2022-05-02,1.48,23,76,4,
585836776091159826,colocation - flatsharing (3 personnes/people),49258343,Xavier,,Rosemont-La Petite-Patrie,45.54183,-73.60457,Private room,45,32,0,,,4,251,0,
580549396449479467,OLD MONTREAL STUDIO | SMALL AND COMFY Y200,250774835,Ricky,,Ville-Marie,45.50225,-73.55758,Entire home/apt,131,1,16,2022-06-04,5.71,24,53,16,
580614030840300484,"Private Room Near Metro, HEC,UdeM",438658450,Lui,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49664,-73.63874,Private room,50,32,1,2022-05-21,1,29,313,1,
586220129542774283,Stylish apartment by the Botanical Garden +Parking,235784509,Koa,,Mercier-Hochelaga-Maisonneuve,45.58056,-73.55512,Entire home/apt,114,1,11,2022-05-20,4.71,1,101,11,
580946078970140760,Cheerful 3 bedroom home with pool,434110281,Racha,,Anjou,45.60687127851454,-73.57520505365814,Entire home/apt,149,59,0,,,1,69,0,
586318805856831026,"Big, Trendy 4 Bedroom, and 4 Bathroom Townhouse!",209835672,Ruslan,,Ville-Marie,45.49555,-73.57547,Entire home/apt,536,5,2,2022-05-18,0.95,1,152,2,
586440070710967638,Spacious Zen ideal for ✰corporates or newcomers ✰,195501369,Julio,,Ville-Marie,45.5104,-73.56224,Entire home/apt,132,30,0,,,46,84,0,
581142897148889400,Lovely 1-bedroom apartment with indoor fireplace,184250817,Luma,,Saint-Laurent,45.51994,-73.72633,Entire home/apt,100,3,7,2022-05-27,2.80,4,308,7,
586564908596232219,Magnifique condo plateau Mont-Royal,273915134,Aurore,,Le Plateau-Mont-Royal,45.5197,-73.56814,Entire home/apt,340,3,5,2022-06-06,3.13,1,331,5,
581151457477279701,Cosy & calm duplex in a great neighborhood,433847846,Houda,,LaSalle,45.43117,-73.62183,Entire home/apt,200,3,0,,,1,352,0,
586786266729364990,Maison 3 chambres à Montréal avec piscine creusée,277147659,Katianne,,Mercier-Hochelaga-Maisonneuve,45.5864,-73.55105,Entire home/apt,200,5,0,,,1,34,0,
581158735629688267,"19th floor 1BR with GYM, SPA, BBQ & Pool.",381902261,Ghali,,Le Sud-Ouest,45.49453,-73.55953,Entire home/apt,221,3,0,,,2,294,0,
586848472799340656,Roomy 3rd Floor Complete Plateau Apartment,450450296,Melissa,,Le Plateau-Mont-Royal,45.53458,-73.57379,Entire home/apt,80,1,7,2022-06-05,4.04,1,268,7,
586861702583662768,"Superbe Appart , Wifi & stationnement Montréal-Est",61631480,Nafaa,,Rivière-des-Prairies-Pointe-aux-Trembles,45.636917,-73.49379,Entire home/apt,65,31,1,2022-04-30,0.75,1,342,1,
581171926171352845,1 bedroom in Penthouse Apartment Downtown Montreal,131704078,Nya,,Le Sud-Ouest,45.47937,-73.58112,Private room,83,1,8,2022-05-23,2.89,2,338,8,
586914735388013907,Modern Bedroom with Queen Bed and Beautiful Desk 1,271809442,Moh,,Rosemont-La Petite-Patrie,45.57778,-73.57344,Private room,39,32,0,,,2,283,0,
586917077362723413,Colocation of 2 people - 1 room to rent,321165050,Clément,,Ville-Marie,45.53282,-73.55363,Private room,53,6,1,2022-06-02,1,1,87,1,
586972388691896316,Anabel  studio !,75738073,Melanie,,Rosemont-La Petite-Patrie,45.5417,-73.57562,Entire home/apt,119,2,12,2022-06-05,4.62,1,111,12,
581346791879674127,"Irresistible 2 bedroom condo, excellent location",39975481,Michel P. & Lupita,,Ville-Marie,45.524,-73.55961,Entire home/apt,300,2,0,,,6,194,0,
587117889196465421,"Wifi, Small Furnished room near Metro, HEC,UdeM",438658450,Lui,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49625,-73.63564,Private room,40,32,1,2022-05-01,0.77,29,267,1,
587117921490893556,"Nice, Private Room near metro,HEC,UdeM",438658450,Lui,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49341,-73.62564,Private room,50,32,1,2022-05-07,0.91,29,331,1,
587149699128882284,Lovely 1-Bedroom in the heart of Le Plateau,428169939,Guilhem,,Le Plateau-Mont-Royal,45.51573729553381,-73.5689681557149,Private room,500,1,0,,,1,161,0,
581371982070419781,Condo tout équipé avec accès au balcon/bbq et spa!,28754730,Julie,,Mercier-Hochelaga-Maisonneuve,45.59563,-73.51271,Entire home/apt,74,1,0,,,8,302,0,291701
587509199695030618,"Modern & Chill, logement neuf Plateau MontRoyal",431750953,Mickael,,Le Plateau-Mont-Royal,45.52037,-73.57696,Entire home/apt,806,2,6,2022-06-05,3.46,2,233,6,CITQ 306532
587535406317099358,Completely Redone 4 Bedroom Loft,57330016,Hayley,,Le Plateau-Mont-Royal,45.51673089057253,-73.58080042301322,Entire home/apt,395,3,0,,,16,46,0,
581393035488286840,Nice one bedroom/Studio in centre of MTL,383353517,Lucas,,Ville-Marie,45.49626,-73.57597,Entire home/apt,293,1,9,2022-05-24,3.38,5,22,9,
587576441116235314,"Large 2 bedroom with on-site laundry, fenced yard",271547622,Taylor,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.48541,-73.638,Entire home/apt,397,2,3,2022-05-19,1.70,1,46,3,2892285720
587607483209598060,Downtown Views Apart-Hotel on Bishop,284489108,Élégance Hotel,,Ville-Marie,45.49799,-73.57709,Entire home/apt,825,2,0,,,24,19,0,
581486559824394686,Downtown GoodVibe Loft /w gym and free parking,439780348,Cinq,,Ville-Marie,45.49628,-73.57576,Entire home/apt,199,2,22,2022-06-06,8.25,4,349,22,
587631615633776937,"Room by the river, close to the D-T and pleasant!",450634136,Aymen,,LaSalle,45.42043809292186,-73.64994438983226,Private room,40,1,12,2022-05-28,5.14,1,333,12,
581710201866545092,NEW! 2BR*Feeling at home *Wi-Fi*gym*parking,382842166,Jupiter,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.465481106065305,-73.61666209819633,Entire home/apt,178,1,4,2022-03-27,1.43,23,327,4,
587637486205320426,Cozy bedroom next to McGill/Downtown,450636122,Lupita,,Le Plateau-Mont-Royal,45.50678298028122,-73.57311946189873,Private room,89,1,26,2022-06-07,12.79,2,98,26,
587699461602912047,Beautiful home in the heart of NDG,393595593,Arthur,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47479,-73.62258,Entire home/apt,355,3,0,,,5,41,0,
587709350214513913,Chambre privé à louer à NDG,392066679,Joel,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46379,-73.62095,Private room,84,1,5,2022-05-25,2.78,2,356,5,
587713847458986407,Chambre privé à louer dans NDG,392066679,Joel,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46376,-73.62085,Private room,84,1,4,2022-06-06,3.75,2,356,4,
581752563683175469,Cozy clean studio in a nice neighborhood,103167064,Joseph,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46961,-73.63479,Entire home/apt,102,1,4,2022-05-08,1.76,1,331,4,
587737578643951698,Cozy 1 bedroom apartment close to Mont-Royal park,106811613,Sherif,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49576111380518,-73.6067306285709,Entire home/apt,107,2,4,2022-06-04,4,1,318,4,
587740144234662450,Plateau 2+1 bedroom  + mezzanine + rooftop terrace,32231058,June,,Le Plateau-Mont-Royal,45.523666,-73.576904,Entire home/apt,395,2,2,2022-05-29,2,1,310,2,
581773431177800144,Charmant Loft a cote du parc maisonneuve,238949890,Hamid,,Rosemont-La Petite-Patrie,45.5582,-73.57175,Entire home/apt,102,1,11,2022-05-29,4.07,1,112,11,
587863989887475435,3bdr+PARKING Family-friendly neighborhood,160208276,Semsi,,Ahuntsic-Cartierville,45.53876,-73.69902,Entire home/apt,155,3,12,2022-06-06,5.22,1,80,12,309289
588215559468640954,Luxurious 2BDR Penthouse | Bell Center | Free Park,445564858,Julie,,Ville-Marie,45.50004,-73.56766,Entire home/apt,3772,1,0,,,1,363,0,
588217298595453196,Studio Apartment - McGill Ghetto,406915877,Harrington,,Le Plateau-Mont-Royal,45.52331,-73.57992,Private room,50,270,0,,,3,281,0,
581783836235948786,Trendy 2 BDR apartment with patio in Little Italy,9431616,Emilie,,Rosemont-La Petite-Patrie,45.53221,-73.61548,Entire home/apt,150,2,0,,,1,128,0,
588374682005196279,Appartement spacieux; Downtown flat #CITQ 302676,450797449,Elisabeth,,Le Plateau-Mont-Royal,45.50848,-73.57627,Entire home/apt,1250,4,0,,,2,348,0,#CITQ 302676
588402844818587964,1 bedroom fully furnished penthouse.,311205578,Don,,Ville-Marie,45.49262,-73.58244,Entire home/apt,151,1,17,2022-06-08,7.18,1,310,17,
588408464487647499,Agréable maison familiale dans la Petite Patrie,11795578,Thomas,,Rosemont-La Petite-Patrie,45.53655,-73.60271,Entire home/apt,350,7,0,,,2,219,0,
581852386754139518,Private queen room in 2 bedroom apt great location,201907156,Haeila,,Mercier-Hochelaga-Maisonneuve,45.55352,-73.55289,Private room,90,1,12,2022-06-03,4.44,1,79,12,
588458038565669661,Appartement spacieux et lumineux,2347600,Bastien,,Rosemont-La Petite-Patrie,45.54284,-73.60926,Entire home/apt,160,3,10,2022-05-23,4.17,1,10,10,
588527762604399756,M11 | Luxury 2BR + Sofa bed Condo -Balcony+Rooftop Terrace In Heart of Griffintown,288056459,Alex,,Le Sud-Ouest,45.49119964307907,-73.56140538776778,Entire home/apt,264,2,9,2022-05-21,3.70,16,28,9,
581852901956008063,Très bel Appartement sur le plateau Mont-Royal,442696888,Amine,,Le Plateau-Mont-Royal,45.53538529227116,-73.58676675604035,Entire home/apt,80,1,0,,,1,24,0,
581884353067995367,@7!0#1$A studio downtown Montreal,444610623,Jing,,Ville-Marie,45.49213,-73.57458,Entire home/apt,54,7,0,,,3,76,0,
588543412407190237,**Bel appartement typique de Montréal**,45825921,Capucine,,Villeray-Saint-Michel-Parc-Extension,45.54395,-73.6333,Entire home/apt,98,2,0,,,1,100,0,
581938822329828088,1 bed/apt-10min Downtown-next Metro Station,70058293,Mary & Jim,,Verdun,45.46373,-73.56285,Entire home/apt,59,31,0,,,9,237,0,
588681069833866564,Spacious 5 bedroom home plus office room,249681293,Grace,,Rivière-des-Prairies-Pointe-aux-Trembles,45.63471121802937,-73.59753371007173,Entire home/apt,298,7,0,,,1,312,0,
588838756153720119,Cosy place in the heart of Montreal1 - CITQ#307822,18275527,Cecile,,Le Plateau-Mont-Royal,45.51819,-73.58648,Entire home/apt,45,8,0,,,2,0,0,
581985908098288718,Downtown Montreal,438968596,Abdou,,Ville-Marie,45.50981,-73.56037,Entire home/apt,86,1,8,2022-06-04,8,1,266,8,
588897818587003820,"Excellent location & comfort, 5min from the metro!",47426465,Hersilia,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49004,-73.62868,Entire home/apt,149,3,2,2022-05-29,1.11,1,39,2,
582128846460718285,warm and clean room snowdon subway free parking,247451381,十娘,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.48191,-73.62741,Private room,36,14,1,2022-05-31,1,16,326,1,
582407361258674167,Coquette chambre dans un appartement lumineux!,95257253,Olivier,,Le Plateau-Mont-Royal,45.5245,-73.58533,Private room,52,14,0,,,1,1,0,
588937618904116518,New refurbished 3-bedrooms with 5 star location,428842796,Jingwei,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.495087,-73.626968,Entire home/apt,214,1,11,2022-06-05,4.93,3,321,11,
582476782887522971,Cozy 1BR apartment close to metro Guy-Concordia,394852716,Pari,,Ville-Marie,45.49704,-73.5814,Entire home/apt,135,1,2,2022-04-18,0.79,3,0,2,
582478691289027242,Sonder Maisonneuve | Stellar Two-Bedroom Apartment w/ Balcony,224865057,Sonder (Montreal),,Ville-Marie,45.49756,-73.57763,Entire home/apt,344,2,28,2022-05-25,10.37,40,325,28,306820
588943853947121390,"Premium, modern, private, quiet place to stay",450908631,Jane,,Pierrefonds-Roxboro,45.45756,-73.8862,Private room,162,2,1,2022-05-21,1,1,360,1,
582526103139583027,"Lovely 2- Bedroom Apartment in Plateau, Montreal",426334412,Sam,,Le Plateau-Mont-Royal,45.5181,-73.56799,Entire home/apt,120,2,0,,,7,0,0,
582625356577264306,Tour des Canadiens Centre-Ville MTL avec Parking,215522333,Farid,,Ville-Marie,45.49488,-73.57167,Entire home/apt,120,31,1,2022-05-31,1,1,267,1,
589044827754389139,Modern Downtown Condo Metro Beaudry Villemarie,105977083,Jimmy,,Ville-Marie,45.51868,-73.55475,Entire home/apt,70,30,1,2022-04-30,0.75,2,55,1,
589176888592130415,Lovely 5-bedroom with free parking premise,428842796,Jingwei,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.491009,-73.629532,Entire home/apt,160,30,0,,,3,185,0,
582756346230109781,modern studio next to metro,449611651,Kc,,Mont-Royal,45.52368213567492,-73.62146166944848,Entire home/apt,109,2,14,2022-05-23,6.89,1,107,14,
589582426036306119,Cozy room near Cremazie station,391729400,Ben,,Ahuntsic-Cartierville,45.54591,-73.64326,Private room,37,3,1,2022-05-13,1,1,39,1,
582776827180194125,Appartement 2 chambres + bureau + grde terrasse,424922880,Muriel,,Ville-Marie,45.53745,-73.55887,Entire home/apt,65,31,1,2022-06-01,1,2,175,1,
589717519590889388,Lovely private room in two bedroom apartment,263654488,Kamran,,Le Sud-Ouest,45.488464,-73.563896,Private room,103,2,6,2022-06-05,4.62,4,72,6,
583148202922717345,Private bedroom at PH floor facing the forest,401619782,Soha,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49547,-73.60768,Private room,50,1,1,2022-05-28,1,3,331,1,
589781783489493107,Superbe Appartement avec terrasse 2CH,141009075,Michel,,Ahuntsic-Cartierville,45.54746,-73.64325,Entire home/apt,100,32,0,,,3,209,0,
589806788761125440,Grand studio au centre de Montréal,17994892,Samuel,,Ville-Marie,45.492494255320146,-73.58393634683026,Entire home/apt,750,2,0,,,2,4,0,
583152770912530269,Hommy 1BR apt in the heart of MTL attraction centr,400581648,Najla,,Ville-Marie,45.49843,-73.57607,Entire home/apt,138,1,5,2022-05-09,2.59,2,192,5,
589807141368758778,Very Nice and Luxury apartment in old port,378036351,Nancy,,Ville-Marie,45.50218,-73.5605,Entire home/apt,158,1,25,2022-05-31,10.14,2,339,25,
589834362624048577,The Convenient - Near Sherbrooke Metro,140469620,Luca,,Le Plateau-Mont-Royal,45.52031,-73.56856,Entire home/apt,175,2,1,2022-05-23,1,4,84,1,
583246866516754263,Three bedrooms Free parking OutremontGood location,277967511,Serena,,Outremont,45.515949,-73.603348,Entire home/apt,180,1,3,2022-05-22,2.73,1,6,3,
583254802878545773,Chambre calme tres lumineuse avec une belle vue,281145008,Zeyad,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.51134,-73.62471,Private room,47,4,5,2022-06-01,1.95,1,127,5,
589863247843809828,Chambre privée chez l’hôte - appartement lumineux,50685244,Eszter,,Rosemont-La Petite-Patrie,45.547894,-73.573799,Private room,35,31,1,2022-05-30,1,1,218,1,
583260261821921994,Superbe appartement à Montréal au centre-ville,81790669,Nabil,,Ville-Marie,45.53134,-73.56141,Entire home/apt,113,1,11,2022-05-23,5.41,1,15,11,
589923416622617103,Cheerful 3-Bedroom Residence with Balcony,451127105,Lorinda,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.473366,-73.613258,Entire home/apt,201,1,2,2022-06-05,2,1,134,2,
583340244252847238,Old century 2BR apartment downtown Montreal,316813523,Servimax,,Ville-Marie,45.49602,-73.58698,Entire home/apt,369,2,14,2022-05-31,5.60,21,243,14,
589948439896150776,Appart Moderne (location 32 jours); Downtown flat,450797449,Elisabeth,,Le Plateau-Mont-Royal,45.51065,-73.57646,Entire home/apt,200,32,0,,,2,351,0,
583401522345053587,.,449751635,Thierry,,Ville-Marie,45.523972,-73.563637,Entire home/apt,125,1,10,2022-05-25,3.90,1,40,10,2275219956
589982807964145428,"Furnished Small Bedroom Near Metro, HEC,UdeM",438658450,Lui,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49806,-73.63417,Private room,40,32,0,,,29,264,0,
583461368417687594,Corporate Travel [P] 1BR Relocation or Insurance,426271842,Marie,,Le Plateau-Mont-Royal,45.5342,-73.56748,Entire home/apt,95,1,7,2022-05-23,2.56,3,233,7,
589990963628240001,"Group gathering,Spacious apt💝downtown Montreal",367816623,Andrea,,Ville-Marie,45.49768,-73.58159,Entire home/apt,650,1,7,2022-06-06,2.84,5,193,7,
590000667774351340,Chambre privée dans logement de location,373295167,Ahmed,,Saint-Laurent,45.53192,-73.67107,Private room,31,2,1,2022-04-16,0.56,2,281,1,
583858920603737023,Hommy 1BR in the center of MTL Attraction area,388713963,Vahid,,Ville-Marie,45.4983,-73.57685,Entire home/apt,152,1,14,2022-05-23,5.38,1,186,14,
590063320179669038,"Female only, Furnished Room Near Metro,HEC, UdeM",438658450,Lui,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49362863506655,-73.6321868757269,Private room,60,32,0,,,29,251,0,
590232750937805255,The cool with a table pool !(downtown),374234894,Donguel,,Ville-Marie,45.53164,-73.55577,Entire home/apt,377,1,22,2022-05-26,9.57,14,318,22,
