id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35842939,Trendy 2 bedroom Apartment on the Main Floor,220144942,Sharm,,Dovercourt-Wallace Emerson-Junction,43.67014,-79.43963,Entire home/apt,169,28,14,2021-08-16,0.36,2,78,0,
36030766,Excellent Area+Private House w/3 BR+Amazing Patio!,125602323,Vandad,,Bedford Park-Nortown,43.72708,-79.41802,Entire home/apt,199,28,17,2020-06-30,0.44,1,0,0,
35843521,Private room basement,226909245,Marites,,Weston,43.7089,-79.50762,Private room,50,28,7,2021-01-12,0.18,2,235,0,
36033103,Professor's House in Toronto(Lady Only),271069549,Dr. Bob,,Rockcliffe-Smythe,43.67777,-79.48163,Shared room,75,28,0,,,1,0,0,
35843991,"Entire 2 storey, 2 bdrm, 2 bath w/ balcony  modern",201577022,Stela,,Danforth,43.68277,-79.33036,Entire home/apt,129,28,51,2020-03-08,1.30,2,0,0,
35844839,"Modern, Central Condo in Financial/Discovery Dist.",8540894,Yani,,Bay Street Corridor,43.66275,-79.38706,Entire home/apt,175,28,31,2020-10-03,0.79,14,0,0,
36035754,Bright beautiful condo/patio on Du-West.,269693,Mark,,Little Portugal,43.64985,-79.43437,Private room,55,28,1,2019-06-30,0.03,1,312,0,
35846039,Newly renovated private unit near Jane Station,37905670,Khang,,Runnymede-Bloor West Village,43.66514,-79.49047,Entire home/apt,57,28,9,2022-07-04,0.24,4,0,4,
35859839,King West Triplex Lower PVT APT 1 BDRM w pullout,37409645,Navid,,Niagara,43.64335,-79.40736,Entire home/apt,150,28,23,2021-12-27,0.59,3,49,3,
36038778,Convenient and Renovated 1.5BR/AC Next to Coxwell,246034440,Kun,,Woodbine Corridor,43.68341,-79.31876,Entire home/apt,67,28,53,2022-07-31,1.38,2,319,7,
36043849,Beautiful 4BR+ downtown garden house. Sleeps 12,59038458,Yvonne,,Regent Park,43.65671,-79.36121,Entire home/apt,1055,2,36,2022-08-28,0.93,3,346,17,STR-2101-FDPKVB
35863773,Sophisticated Gem in Downtown Toronto (Unit 5),14061006,Leah,,North St.James Town,43.66788,-79.3782,Entire home/apt,197,28,17,2022-07-31,0.54,6,67,6,
