id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35519847,Comfy Apartment,265691724,Karun,,District 11,32.89561,-96.77081,Private room,35,2,1,2019-06-26,0.03,2,171,0,
35566132,"★ROOFTOP, LUXURY EN SUITE BEDROOMS, & KING BED★",51662786,Shelby,,District 14,32.80243,-96.78737,Entire home/apt,224,3,78,2022-07-27,2.02,22,65,26,
35612946,Private Room Heart of Dallas w City passes,255107609,Sheena,,District 14,32.77975,-96.80213,Private room,166,7,14,2020-03-06,0.38,1,0,0,
35644377,The Lux Lounge Downtown Dallas Apt,256301119,Stay Lux,,District 2,32.77827,-96.79582,Entire home/apt,170,1,106,2021-06-18,2.78,6,0,0,
35682076,❤️❤️❤️ NEW DALLAS DOWNTOWN❗️AACenter❗️Victory Park,45231444,Andrew Lucas,,District 2,32.79193,-96.80804,Entire home/apt,1026,365,79,2020-06-06,2.05,2,266,0,
35690119,1BR 2 beds Apartment Uptown Dallas/Parking/Washer dryer,188733636,Elegant,,District 14,32.82619,-96.7843,Entire home/apt,98,1,17,2022-07-30,0.45,40,364,5,
35704792,"Like Home! Fully Furnished, Professional Condo!",175494578,Sarah,,District 12,33.00041,-96.80377,Entire home/apt,84,2,103,2022-07-24,2.68,2,201,40,
35713116,"Private, Stylish Historic Home Near Bishop Arts",26913292,Samantha,,District 1,32.7448,-96.84551,Entire home/apt,200,3,5,2021-08-12,0.20,5,0,0,
35716968,Lovely 1 bedroom 2 beds apt | washer & dryer |Dallas uptown,188733636,Elegant,,District 14,32.82611,-96.78601,Entire home/apt,91,1,9,2022-07-18,0.26,40,360,1,
35734080,Backyard garden cottage in Oak Cliff,69110608,Amy,,District 3,32.70032,-96.86503,Entire home/apt,95,2,56,2022-08-07,1.46,1,273,16,
35762063,Corporate Apt 1 bedroom 2 beds Uptown Dallas,264404309,Royal,,District 14,32.82429,-96.78642,Entire home/apt,95,1,4,2020-08-10,0.14,23,364,0,
35769017,ULTIMATE TEXAS EXPERIENCE WITH HEATED POOL&SPA,24407447,Blake,,District 7,32.80444,-96.70852,Entire home/apt,605,2,90,2022-08-10,2.48,12,114,24,
35797919,Lux & Comfort...Walk to Everything!,44636167,Audra,,District 14,32.78538,-96.79516,Entire home/apt,109,3,16,2020-11-22,0.42,1,0,0,
35832133,Big Comfy Condo in Downtown Dallas (RS914),156543716,Corporate Short Stays Dallas,,District 2,32.7776,-96.7954,Entire home/apt,100,1,3,2019-12-28,0.08,21,354,0,
35832752,Best Central Dallas Location,31348177,Grant,,District 14,32.81826,-96.79788,Entire home/apt,196,2,32,2022-06-21,0.85,1,178,7,
35833754,Big Comfy Apt Downtown Dallas/Free Valet (RS218),156543716,Corporate Short Stays Dallas,,District 2,32.7776,-96.7954,Entire home/apt,100,30,11,2020-03-12,0.29,21,355,0,
35833922,1 Bedroom|King & Sofa Bed|Valet Parking|Walk Score 95/100|Downtown Dallas,305350123,Corporate,,District 2,32.77878,-96.79403,Entire home/apt,115,1,51,2022-04-20,1.34,23,354,21,
35833954,Big Comfy Condo Downtown Dallas/Free Valet (RS620),156543716,Corporate Short Stays Dallas,,District 2,32.7776,-96.7954,Entire home/apt,100,1,6,2020-02-19,0.16,21,365,0,
35835548,Dallas R&R Hostel// Private Room 6,384442953,Kristie,,District 1,32.75215,-96.85827,Private room,27,1,108,2022-07-16,2.83,13,345,31,
35837041,★Smart TVs all rooms★Private Yard★Key-less entry,395823,Keith,,District 2,32.8243,-96.82152,Entire home/apt,179,2,119,2022-08-05,3.32,8,317,51,
35876168,Upscale Stylish Townhome -  $65,145852647,Renae K Homes,,District 11,32.91736,-96.7734,Private room,65,7,1,2019-06-21,0.03,1,87,0,
35972546,"""Small Sierra"" 1-person Room In Hostel-style House",233729173,Host Team,,District 1,32.75374,-96.82645,Private room,43,1,154,2022-07-31,4.04,15,269,64,
35974025,Walkable Luxury Modern Dallas BishopArts +Downtown,93232901,Ej,,District 1,32.75067,-96.83839,Entire home/apt,158,1,154,2022-07-22,4.20,19,311,63,
36002102,Big Comfy Apt in Downtown Dallas/Free Valet(RS723),156543716,Corporate Short Stays Dallas,,District 2,32.7776,-96.7954,Entire home/apt,100,1,3,2019-11-26,0.08,21,365,0,
36028885,Charming 1 BR/1BA Studio by White Rock Lake!,42222975,Carolina,,District 9,32.81903,-96.70896,Entire home/apt,108,2,124,2022-07-24,5.54,1,54,57,
36040354,Gorgeous Oak Lawn Townhouse | KING BEDS,13060870,Jerry & JC,,District 14,32.82008,-96.81389,Entire home/apt,195,2,43,2022-06-26,1.14,6,344,8,
36056120,Artist Alcove* 2 luxe q beds*near dwntn*wlk2bishop,112627405,Peaceful Dwellings,,District 1,32.75056,-96.83132,Entire home/apt,88,1,169,2022-08-03,4.50,8,178,66,
36100617,1 Bedroom|King & Sofa Bed|Valet Parking|Walk Score 95/100|Downtown Dallas,305350123,Corporate,,District 2,32.77875,-96.79446,Entire home/apt,112,1,21,2021-01-31,0.55,23,184,0,
36146932,Amazing Townhome in the Heart of Downtown Dallas,237249587,Kim,,District 14,32.79528,-96.78641,Entire home/apt,126,3,23,2022-07-31,0.61,1,154,8,
36175301,1 Bedroom|King & Sofa Bed|Valet Parking|Walk Score 95/100|Downtown Dallas,305350123,Corporate,,District 2,32.77867,-96.79612,Entire home/apt,115,1,63,2022-03-24,1.74,23,355,17,
36181214,Modern one bedroom Condo in Turtle Creek!,112405981,Antonio,,District 14,32.80631,-96.80915,Entire home/apt,90,30,12,2022-06-30,0.32,1,157,1,
36208119,Modren 1Bdroom Apartment  American Airline Center,188733636,Elegant,,District 2,32.78732,-96.8118,Entire home/apt,109,14,35,2022-06-18,0.93,40,268,15,
36208495,Quiet and safe neighborhood,272328093,Mick,,District 3,32.69937,-96.8701,Shared room,100,7,0,,,1,0,0,
36290080,⭐️North Oak/West Dallas/Trinity Groves/Downtow  ⭐️,108514926,Dalls,,District 6,32.77174,-96.83125,Entire home/apt,120,120,2,2019-12-29,0.05,317,363,0,
36294180,Keeping my Apartment clean,266368962,Don,,District 10,32.90368,-96.71084,Shared room,70,10,0,,,1,0,0,
36300884,⭐️North Oak/West Dallas/Trinity Groves/Downtown ⭐️,108514926,Dalls,,District 1,32.74645,-96.8449,Entire home/apt,120,70,1,2019-07-16,0.03,317,363,0,
36301282,⭐️North Oak/West Dallas/Trinity Groves/Downtown ⭐️,108514926,Dalls,,District 1,32.7468,-96.84662,Entire home/apt,120,40,1,2019-09-02,0.03,317,363,0,
36310474,Paramount Housing  Apt | Uptown Dallas |Parking | Washer Dryer,188733636,Elegant,,District 14,32.82577,-96.78655,Entire home/apt,91,1,18,2022-07-09,0.52,40,264,8,
36351143,ART♥ State Fair Suite. Spacious 1 BR apartment,112627405,Peaceful Dwellings,,District 1,32.75007,-96.83158,Entire home/apt,88,1,164,2022-08-03,4.35,8,86,53,
36361702,Petite Retreat,207792786,Brooke,,District 12,33.00265,-96.80298,Entire home/apt,79,14,86,2022-06-04,2.28,4,257,10,
36363820,⭐️North Oak/West Dallas/Trinity Groves/Downtown ⭐️,108514926,Dalls,,District 1,32.74681,-96.84483,Entire home/apt,120,20,1,2020-01-12,0.03,317,363,0,
36364096,⭐️North Oak/West Dallas/Trinity Groves/Downtown ⭐️,108514926,Dalls,,District 1,32.74508,-96.84693,Entire home/apt,120,12,2,2020-01-18,0.06,317,363,0,
36381342,Private guest house with POOL near Bishop Arts!,130952398,Jennifer,,District 1,32.75466,-96.84131,Entire home/apt,345,2,74,2021-01-10,1.99,3,174,0,
36405175,Corporate Apt Uptown Dallas / Garage / Wifi / Wash,188733636,Elegant,,District 14,32.82545,-96.78552,Entire home/apt,93,1,20,2021-08-15,0.54,40,324,1,
36423886,Deep Ellum Suite/Downtown Dallas/Farmer’s Market,273859177,Lisa,,District 2,32.78167,-96.78911,Private room,108,1,56,2022-07-17,1.51,1,133,6,
36448778,Walk to food and shops*local Art* King 1 BR apt!,112627405,Peaceful Dwellings,,District 1,32.74994,-96.83192,Entire home/apt,100,1,73,2022-08-05,1.93,8,90,18,
36476995,1 Bedroom|King & Sofa Bed|Valet Parking|Walk Score 95/100|Downtown Dallas,305350123,Corporate,,District 2,32.77708,-96.79577,Entire home/apt,112,1,18,2021-02-28,0.50,23,184,0,
36477871,Midway Modern  - GREAT LOCATION to Work or Play!,72189887,Vicki,,District 13,32.92287,-96.83801,Entire home/apt,122,30,10,2022-04-15,0.27,1,136,2,
36479111,Saved by the 90s + Video Games & Cereal The Slater,1812060,Jeremy & Kelsey,,District 14,32.81383,-96.76353,Entire home/apt,132,1,397,2022-08-12,10.57,4,327,126,
36527186,Artist Alcove* Spacious Apartment* Walk 2 Shops!,112627405,Peaceful Dwellings,,District 1,32.75146,-96.8313,Shared room,115,1,84,2022-07-01,2.26,8,210,25,
36550524,Open concept★Smart TVs all rooms★Private Backyard,395823,Keith,,District 2,32.82244,-96.82155,Entire home/apt,182,2,101,2022-08-01,2.81,8,269,28,
36556892,Bishop Arts NonToxic  Home - SLEEPS 10!!,274812608,Vanessa,,District 1,32.74664,-96.83412,Entire home/apt,275,3,60,2022-07-17,1.70,3,228,19,
36560793,1 Bedroom 2 beds | Downtown | Parking | Washer n Dryer | Long term stay |Weekly Payment,47763153,Paramount,,District 2,32.77687,-96.79638,Entire home/apt,105,1,51,2022-07-11,1.37,10,360,15,
36598747,Historic Shotgun House along the Trinity River (B),43491948,Stefan,,District 4,32.75301,-96.80226,Entire home/apt,70,1,407,2022-07-27,10.96,5,297,117,
36606296,Luxury Three Level Townhome plus Amazing Rooftop!,43530829,Teri,,District 14,32.79239,-96.79139,Entire home/apt,430,1,193,2022-07-24,5.15,2,275,56,
36608116,Big Comfy Apt Downtown Dallas/Valet Parking (630),156543716,Corporate Short Stays Dallas,,District 2,32.7776,-96.7954,Entire home/apt,100,1,1,2019-10-20,0.03,21,363,0,
36629623,"Downtown loft, w/ Great Views",41089441,Paris,,District 2,32.77793,-96.79635,Entire home/apt,123,1,45,2022-08-11,1.23,1,107,34,
36762132,Charming Remodeled Tudor House 2Bed/2Bath.,167030039,Rose,,District 14,32.80207,-96.74217,Entire home/apt,235,2,32,2022-06-05,1.41,2,111,17,
36771563,"Dallas Super glam, Pet friendly, Perfect location!",40907479,Lisa,,District 2,32.85099,-96.83781,Entire home/apt,202,4,41,2022-05-31,1.10,9,364,9,
36840194,4508 unit D  · Brand New | High design | Edge of Highland Park,430957331,Deisy,,District 14,32.82059,-96.81019,Entire home/apt,290,10,10,2022-08-01,0.28,20,47,8,
36845979,Linda's Private Room (One room),102314542,Linda,,District 12,32.98696,-96.75912,Private room,72,1,11,2022-06-09,0.31,3,73,7,
36878140,HomeAwayLongtermStayFamily/Students/Professionals,14138202,Nancy,,District 11,32.92885,-96.76705,Entire home/apt,251,7,29,2021-10-31,0.79,5,357,1,
36879680,Stylish 2 bedroom 2 Bath Flat - Oaklawn!,43042344,Heath,,District 14,32.81447,-96.80751,Entire home/apt,126,14,56,2022-06-03,1.50,130,359,18,
36910044,❤️JFK ***New Listing*** Presidential Suite ❤️,11637266,Jg,,District 2,32.77853,-96.79447,Entire home/apt,255,31,16,2019-11-18,0.43,1,150,0,
36932012,Big 4 Bed 2 Bath with a pool. Close to down town,57564663,Adam,,District 4,32.70284,-96.84665,Entire home/apt,200,30,22,2022-07-31,0.60,1,139,4,
36971877,30 DAY Minimum Dallas Oasis,30670318,Tamara,,District 14,32.81908,-96.7952,Entire home/apt,89,20,2,2022-06-04,0.08,2,234,1,
36974689,Light & Airy Studio 15mins to Downtown dogfriendly,27014592,Skye,,District 3,32.70213,-96.85852,Entire home/apt,65,3,110,2022-04-22,3.05,2,0,27,
36978338,"Home near the lake, close to the highway",211017714,Shaun,,District 9,32.89485,-96.5169,Private room,35,1,0,,,1,0,0,
37010197,Henderson Hot Spot - Condo B,113547397,Rusty,,District 2,32.8163,-96.77705,Entire home/apt,92,30,67,2022-07-31,1.84,3,325,10,
37036054,Amyfinehouse |Walkable 3BR Loft |Pool+Views+Valet,36151189,Grace,,District 2,32.77734,-96.79548,Entire home/apt,182,1,148,2022-08-07,4.04,25,301,42,
37050677,Mid-Rise beauty Heart of Downtown Dallas,256301119,Stay Lux,,District 2,32.77677,-96.79478,Entire home/apt,124,1,159,2022-07-20,4.31,6,309,66,
37050962,Spacious Downtown Dallas Apt w/Pool Gym Wifi Valet,256301119,Stay Lux,,District 2,32.77822,-96.79655,Entire home/apt,149,1,175,2022-07-28,4.72,6,62,58,
37056460,Excellent Airbnb in a Great location.  LOOK !!,57792678,Alex,,District 13,32.92411,-96.81202,Entire home/apt,70,120,1,2020-03-31,0.03,2,162,0,
